time,R,R_sigma,X1,X1_sigma,X2,X2_sigma,M,M_sigma,P,P_sigma,M2,M2_sigma,P2,P2_sigma
0.0,0.0,0.0016,1.6e-05,0.000912,0.0,0.00034,0.0,0.022012,0.0,0.660367,0.008901,0.38582,0.0,1.54328
0.01,0.056854,0.002312,0.000142,0.000912,0.00015,0.00034,0.0,0.022012,0.189503,0.660367,0.0,0.38582,0.0,1.54328
0.017027,0.100595,0.003836,0.001134,0.000912,9.3e-05,0.00034,0.031585,0.022012,0.0,0.660367,0.042185,0.38582,0.0,1.54328
0.02899,0.150423,0.006253,0.0005,0.000912,0.0,0.00034,0.027663,0.022012,0.0,0.660367,0.0,0.38582,0.156814,1.54328
0.04936,0.250004,0.009901,0.006024,0.000912,0.000585,0.00034,0.04928,0.022012,0.0,0.660367,0.0,0.38582,0.0,1.54328
0.084044,0.359526,0.014963,0.016862,0.000912,0.000103,0.00034,0.0,0.022012,0.0,0.660367,0.39668,0.38582,0.0,1.54328
0.143097,0.499577,0.021059,0.036715,0.001395,0.000647,0.00034,0.008498,0.022012,0.009312,0.660367,0.048005,0.38582,0.0,1.54328
0.243644,0.674647,0.026853,0.070107,0.00288,0.002377,0.00034,0.0,0.022012,0.678719,0.660367,0.0,0.38582,0.0,1.54328
0.414842,0.762611,0.030575,0.138689,0.005244,0.006098,0.00034,0.058254,0.022012,0.794412,0.660367,0.116554,0.38582,1.80647,1.54328
0.706331,0.817844,0.03184,0.194594,0.008343,0.016642,0.000659,0.024439,0.022012,0.143273,0.660367,0.38148,0.38582,2.267887,1.54328
1.202637,0.748764,0.031996,0.290043,0.011722,0.038017,0.001476,0.070163,0.022012,0.82041,0.660367,0.079351,0.38582,0.777448,1.54328
2.047673,0.799789,0.032,0.364935,0.014826,0.067255,0.002772,0.306216,0.022012,0.0,0.660367,0.073379,0.38582,0.0,1.54328
3.486475,0.801555,0.032,0.431403,0.01704,0.109201,0.004401,0.992844,0.040799,0.501253,0.660367,0.07307,0.38582,0.0,1.54328
5.936256,0.769154,0.032,0.452869,0.018031,0.140646,0.005873,2.488948,0.101875,3.716516,0.660367,0.107845,0.38582,1.925473,1.54328
10.107381,0.83149,0.032,0.451291,0.018231,0.177608,0.006634,4.833425,0.194419,11.087429,0.660367,0.252005,0.38582,0.0,1.54328
17.209359,0.770142,0.032,0.448099,0.018242,0.166076,0.00679,7.311124,0.300455,35.931565,1.422499,1.334171,0.38582,2.970735,1.54328
29.301561,0.792327,0.032,0.445608,0.018242,0.162313,0.006798,9.214595,0.387097,86.167497,3.38772,5.671149,0.38582,0.0,1.54328
49.890379,0.810882,0.032,0.450518,0.018242,0.157952,0.006798,10.467458,0.430008,160.032078,6.452387,19.290748,0.752747,1.380131,1.54328
84.945984,0.804862,0.032,0.452592,0.018242,0.175574,0.006798,10.264054,0.439625,254.766267,9.812074,40.259986,1.774306,13.033439,1.54328
144.633501,0.824853,0.032,0.437159,0.018242,0.161097,0.006798,11.410921,0.440239,311.571709,12.176461,79.174477,3.266813,44.506573,1.879557
246.26061,0.81697,0.032,0.47208,0.018242,0.180924,0.006798,11.239457,0.440244,341.130511,13.072277,129.368965,5.028567,126.085985,5.277885
419.296271,0.80872,0.032,0.461407,0.018242,0.175985,0.006798,10.524466,0.440244,328.05569,13.203088,165.399429,6.583769,310.508273,11.812297
713.915893,0.710029,0.032,0.489054,0.018242,0.175216,0.006798,10.817631,0.440244,345.430127,13.207318,190.460574,7.456769,498.450819,20.612933
1215.550763,0.764916,0.032,0.469651,0.018242,0.169388,0.006798,10.520832,0.440244,331.287151,13.20733,188.017963,7.695267,741.683782,27.728382
2069.660687,0.831264,0.032,0.459136,0.018242,0.179005,0.006798,11.960105,0.440244,296.480995,13.20733,179.449518,7.716111,745.657188,30.48595
3523.913183,0.767091,0.032,0.465835,0.018242,0.177806,0.006798,10.830626,0.440244,342.286777,13.20733,184.13899,7.716406,728.255536,30.855584
6000.0,0.841141,0.032,0.470778,0.018242,0.182611,0.006798,10.777917,0.440244,357.139064,13.20733,188.61748,7.716406,764.926098,30.865605
