time,R,R_sigma,X1,X1_sigma,X2,X2_sigma,M,M_sigma,P,P_sigma,M2,M2_sigma,P2,P2_sigma
0.0,0.000128,0.001,0.0,0.000312,0.0,7.7e-05,0.000176,0.003913,0.0,0.117388,0.0,0.147969,0.0,0.591877
0.01,0.013746,0.001,0.0,0.000312,0.0,7.7e-05,0.002333,0.003913,0.101977,0.117388,0.0,0.147969,0.0,0.591877
0.017027,0.024985,0.001,9.1e-05,0.000312,7.6e-05,7.7e-05,0.0,0.003913,0.0,0.117388,0.0,0.147969,0.0,0.591877
0.02899,0.042619,0.001666,0.000573,0.000312,9.6e-05,7.7e-05,0.003382,0.003913,0.080066,0.117388,0.0,0.147969,0.0,0.591877
0.04936,0.071417,0.002753,0.001754,0.000312,0.0,7.7e-05,0.005743,0.003913,0.074123,0.117388,0.004167,0.147969,0.588145,0.591877
0.084044,0.111195,0.004457,0.004463,0.000312,8e-05,7.7e-05,0.0,0.003913,0.099776,0.117388,0.229163,0.147969,0.0,0.591877
0.143097,0.166249,0.006981,0.01072,0.000417,0.000221,7.7e-05,0.003165,0.003913,0.153085,0.117388,0.118063,0.147969,0.980459,0.591877
0.243644,0.253984,0.010371,0.023905,0.000932,0.000621,7.7e-05,0.009515,0.003913,0.0,0.117388,0.0,0.147969,0.0,0.591877
0.414842,0.360081,0.014238,0.043953,0.001862,0.001957,8.2e-05,0.021337,0.003913,0.0,0.117388,0.0,0.147969,0.467758,0.591877
0.706331,0.421666,0.017597,0.077794,0.003243,0.006078,0.000239,0.035135,0.003913,0.0,0.117388,0.214038,0.147969,0.0,0.591877
1.202637,0.493428,0.019458,0.121119,0.004783,0.014321,0.000566,0.060311,0.003913,0.041097,0.117388,0.326975,0.147969,0.263698,0.591877
2.047673,0.533888,0.019957,0.133865,0.005853,0.023682,0.001028,0.120436,0.004681,0.16218,0.117388,0.0,0.147969,0.237142,0.591877
3.486475,0.484841,0.019999,0.154306,0.006197,0.035584,0.001397,0.251243,0.010535,0.235099,0.117388,0.30146,0.147969,0.0,0.591877
5.936256,0.501798,0.02,0.157012,0.006231,0.037323,0.001524,0.542066,0.021883,0.83054,0.117388,0.166452,0.147969,0.0,0.591877
10.107381,0.50896,0.02,0.152354,0.006232,0.035065,0.001537,0.966092,0.037815,2.593526,0.117388,0.222511,0.147969,0.0,0.591877
17.209359,0.519104,0.02,0.155633,0.006232,0.037064,0.001538,1.315059,0.055344,6.377171,0.277801,0.070711,0.147969,0.0,0.591877
29.301561,0.510663,0.02,0.166756,0.006232,0.039132,0.001538,1.745612,0.069549,15.568022,0.629644,1.104624,0.147969,0.0,0.591877
49.890379,0.488925,0.02,0.150588,0.006232,0.037586,0.001538,1.829697,0.076581,28.675275,1.168633,2.531984,0.147969,0.0,0.591877
84.945984,0.490221,0.02,0.155746,0.006232,0.038194,0.001538,1.821614,0.078157,44.122434,1.75557,8.041392,0.347073,1.780258,0.591877
144.633501,0.521272,0.02,0.155394,0.006232,0.039392,0.001538,2.034177,0.078258,51.581652,2.16798,23.270746,0.883308,10.857877,0.591877
246.26061,0.541724,0.02,0.157025,0.006232,0.03879,0.001538,2.141445,0.078259,55.450328,2.32421,45.375338,1.666325,34.794058,1.50532
419.296271,0.504595,0.02,0.154258,0.006232,0.041622,0.001538,1.943537,0.078259,59.411263,2.347023,62.522983,2.410293,96.837198,3.948414
713.915893,0.492928,0.02,0.156872,0.006232,0.037037,0.001538,1.86695,0.078259,58.306132,2.347761,72.866229,2.83344,184.173096,7.512139
1215.550763,0.490786,0.02,0.151258,0.006232,0.034119,0.001538,1.824433,0.078259,60.603627,2.347763,72.737907,2.949133,265.233829,10.50062
2069.660687,0.495177,0.02,0.15283,0.006232,0.039425,0.001538,2.008167,0.078259,55.731504,2.347763,78.653622,2.959244,267.086145,11.675232
3523.913183,0.496976,0.02,0.152538,0.006232,0.039261,0.001538,1.914278,0.078259,60.454927,2.347763,75.397027,2.959387,295.620093,11.833254
6000.0,0.510659,0.02,0.14917,0.006232,0.038407,0.001538,1.987736,0.078259,60.312101,2.347763,69.135501,2.959387,314.901754,11.83754
