time,M1,M1_sigma,P1,P1_sigma,M2,M2_sigma,P2,P2_sigma,M3,M3_sigma,P3,P3_sigma
0.0,0.0,0.444933,0.0,0.593153,0.001957,0.004237,0.0,0.016836,0.121474,0.37918,0.043748,0.501918
3.846154,224.323851,8.619414,110.889061,4.53619,2.143123,0.084746,8.341026,0.336723,5.180284,0.37918,10.051789,0.501918
7.692308,223.454061,8.889903,207.606743,8.153802,0.297415,0.012264,4.679951,0.186837,9.44658,0.388326,9.790606,0.501918
11.538462,210.36945,8.898392,265.615873,10.006417,0.234451,0.00993,2.681205,0.100443,31.308264,1.234694,18.083627,0.710073
15.384615,202.52996,8.898658,269.757619,10.934829,0.225678,0.009841,1.460393,0.056833,76.22459,3.021988,41.093263,1.795147
19.230769,220.307939,8.898666,282.947198,11.399467,0.235575,0.009832,0.888465,0.034991,124.927068,5.071177,85.229159,3.693353
23.076923,216.627768,8.898667,286.782005,11.631983,0.237269,0.009829,0.647255,0.024058,171.068351,6.415829,145.768193,5.772049
26.923077,234.691547,8.898667,289.17985,11.748338,0.246228,0.009828,0.471705,0.018586,173.419497,7.06227,178.09416,7.430263
30.769231,220.864694,8.898667,300.413536,11.806564,0.244781,0.009827,0.380269,0.016836,186.736052,7.347027,204.059761,8.540757
34.615385,238.146353,8.898667,289.530417,11.835702,0.25278,0.009827,0.350533,0.016836,200.956795,7.474632,238.278911,9.220617
38.461538,242.117763,8.898667,297.510088,11.850283,0.247,0.009827,0.339254,0.016836,183.415751,7.534093,236.717143,9.617549
42.307692,223.607115,8.898667,303.809467,11.85758,0.228849,0.009827,0.334044,0.016836,179.412646,7.562671,247.816296,9.843046
46.153846,227.285231,8.898667,288.05448,11.861231,0.242907,0.009827,0.308594,0.016836,185.524203,7.576668,248.740114,9.968934
50.0,219.817014,8.898667,286.864746,11.863059,0.257991,0.009827,0.338348,0.016836,195.205897,7.583596,240.844774,10.038357
