time,M1,M1_sigma,P1,P1_sigma,M2,M2_sigma,P2,P2_sigma,M3,M3_sigma,P3,P3_sigma
0.0,0.0,0.134045,0.059402,0.13401,0.260914,0.159428,0.191688,0.129476,0.0,0.115815,0.0,0.133862
6.0,3.397152,0.135912,8.361335,0.34962,2.015874,0.159428,7.897859,0.302472,4.46138,0.1766,7.823129,0.328648
12.0,3.035184,0.134045,6.147694,0.239435,4.116694,0.163171,5.527494,0.21404,9.029961,0.384734,9.656355,0.38263
18.0,1.888788,0.134045,4.035153,0.159911,9.323294,0.358331,7.74352,0.305228,5.992263,0.245938,10.447579,0.421386
24.0,4.236468,0.176618,4.007178,0.162931,10.625515,0.438871,12.19871,0.50183,2.348739,0.115815,6.745039,0.262839
30.0,11.80299,0.477175,9.193338,0.359566,3.053921,0.159428,9.023101,0.383535,2.627695,0.115815,3.968455,0.165943
36.0,7.357436,0.279651,12.359768,0.499619,1.125562,0.159428,4.654853,0.185009,10.781052,0.419007,6.865833,0.276386
42.0,0.954849,0.134045,6.257189,0.260762,3.099498,0.159428,3.179893,0.129476,24.814588,1.038306,20.632344,0.824458
48.0,0.373551,0.134045,2.678075,0.13401,15.38392,0.640039,9.284054,0.3598,6.712138,0.266835,21.092247,0.832748
54.0,2.041694,0.134045,1.986539,0.13401,36.222028,1.473538,29.927545,1.220164,0.872854,0.115815,9.167585,0.352801
60.0,13.939756,0.572021,7.689125,0.297394,6.134349,0.255738,28.325146,1.074967,0.550254,0.115815,3.671326,0.137464
66.0,39.946774,1.717012,29.632701,1.248167,0.71884,0.159428,10.191706,0.424642,1.982591,0.115815,2.273009,0.133862
72.0,10.016116,0.401514,31.444606,1.333269,0.349953,0.159428,3.994058,0.156976,13.232552,0.539894,7.110977,0.275824
78.0,0.726203,0.134045,13.122711,0.541965,0.593306,0.159428,1.764565,0.129476,57.726706,2.316292,34.838096,1.405049
84.0,0.073878,0.134045,4.91555,0.196363,5.156158,0.199087,2.897796,0.129476,43.297868,1.828241,64.270685,2.677237
90.0,0.465354,0.134045,1.794137,0.13401,31.033151,1.248434,16.89497,0.64108,3.186578,0.121402,37.569695,1.413213
96.0,1.087959,0.134045,1.225672,0.13401,76.214527,3.188559,59.991942,2.444584,0.353829,0.115815,12.280632,0.509877
102.0,7.882264,0.316411,4.011241,0.159654,21.854587,0.828638,63.151917,2.58952,0.357021,0.115815,4.449692,0.183628
108.0,40.04061,1.751545,23.007387,0.948356,0.919167,0.159428,28.654679,1.056173,0.548214,0.115815,1.758524,0.133862
114.0,70.754791,2.680898,67.347527,2.680197,0.37998,0.159428,9.560573,0.372934,2.586346,0.115815,1.67818,0.133862
