time,A,A_sigma,B,B_sigma,C,C_sigma
0.0,0.0009,0.004024,0.003988,0.003059,0.009507,0.006127
0.5,0.743675,0.033131,0.094522,0.00376,0.015404,0.006127
1.0,1.456193,0.056383,0.271661,0.011458,0.137161,0.006127
1.5,1.768681,0.070871,0.492114,0.020543,0.317582,0.013099
2.0,1.959252,0.078428,0.721319,0.029787,0.559572,0.022569
3.0,1.991678,0.080485,1.088539,0.045885,1.075487,0.04351
4.0,1.816041,0.074342,1.343174,0.056564,1.532488,0.063772
6.0,1.464152,0.057918,1.451526,0.061186,2.462548,0.096158
8.0,1.057611,0.045208,1.330926,0.050949,2.977845,0.1156
10.0,0.931371,0.036846,0.940174,0.035981,2.855835,0.12254
13.0,0.732073,0.029062,0.468482,0.019393,2.976222,0.113949
16.0,0.569669,0.022839,0.305595,0.012086,2.471872,0.094987
20.0,0.334207,0.01317,0.157651,0.006276,1.856084,0.068648
