time,A,A_sigma,B,B_sigma,C,C_sigma
0.0,0.0,0.005412,0.0,0.006286,0.00271,0.007677
0.5,0.84651,0.03328,0.095607,0.006286,0.01796,0.007677
1.0,1.494121,0.057955,0.285932,0.011627,0.135086,0.007677
1.5,1.95043,0.076016,0.532276,0.021428,0.344294,0.013277
2.0,2.202277,0.088966,0.821638,0.032398,0.555136,0.023109
3.0,2.600363,0.103746,1.409746,0.056014,1.114684,0.045549
4.0,2.791474,0.108231,2.039006,0.079432,1.786969,0.068268
6.0,2.376109,0.097296,2.843,0.116032,2.895239,0.107681
8.0,1.670243,0.068432,3.024202,0.125729,3.115067,0.136224
10.0,0.928437,0.036282,2.357408,0.101247,3.643395,0.153537
13.0,0.256894,0.009654,0.797291,0.03206,3.828144,0.153332
16.0,0.03597,0.005412,0.049126,0.006286,2.615628,0.104397
20.0,0.005746,0.005412,0.0009,0.006286,1.128852,0.045412
