time,A,A_sigma,B,B_sigma,C,C_sigma
0.0,0.0,0.002149,0.0,0.000995,0.0,0.002701
0.5,0.448041,0.019849,0.059303,0.002266,0.013523,0.002701
1.0,0.796946,0.032634,0.158123,0.006547,0.088204,0.0035
1.5,0.926491,0.039917,0.284691,0.011039,0.228661,0.008453
2.0,1.034842,0.042971,0.362291,0.014988,0.359856,0.014719
3.0,1.044968,0.04059,0.51214,0.019818,0.712498,0.02852
4.0,0.798999,0.032515,0.507231,0.019907,0.995618,0.040973
6.0,0.398789,0.015827,0.287238,0.01137,1.265637,0.054017
8.0,0.155111,0.006368,0.100308,0.004009,1.257209,0.049616
10.0,0.060919,0.002346,0.032872,0.001285,0.925619,0.037541
13.0,0.006773,0.002149,0.00704,0.000995,0.543138,0.021414
16.0,0.003589,0.002149,0.001225,0.000995,0.272567,0.01147
20.0,0.0,0.002149,0.000938,0.000995,0.120839,0.004832
